state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mt,2013,upper,SB 179,MTV00006135,upper,DO PASS AS AMENDED,2013-02-08 00:00:00,other,10,0,0
mt,2013,upper,SB 183,MTV00006136,upper,Do Pass,2013-02-11 00:00:00,other,50,0,0
mt,2013,upper,SB 187,MTV00006137,upper,DO PASS,2013-02-08 00:00:00,other,7,5,0
mt,2013,upper,SB 201,MTV00006138,upper,DO PASS,2013-02-08 00:00:00,other,13,1,0
mt,2013,upper,SB 209,MTV00006139,upper,Do Pass As Amended,2013-02-12 00:00:00,other,42,8,0
mt,2013,upper,SB 209,MTV00006140,upper,AMD-2 Arthun D/PASS,2013-02-12 00:00:00,other,45,5,0
mt,2013,upper,SB 209,MTV00006141,upper,DO PASS AS AMENDED,2013-02-08 00:00:00,other,10,0,0
mt,2013,upper,SB 213,MTV00006142,upper,Do Pass,2013-02-11 00:00:00,other,50,0,0
mt,2013,upper,SB 225,MTV00006143,upper,Do Pass,2013-02-12 00:00:00,other,44,6,0
mt,2013,upper,SJ 11,MTV00006144,upper,Do Pass,2013-02-11 00:00:00,other,45,5,0
mt,2013,lower,HB 6,MTV00006145,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,21,0,0
mt,2013,lower,HB 7,MTV00006146,lower,DO PASS,2013-02-08 00:00:00,other,21,0,0
mt,2013,lower,HB 8,MTV00006147,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,21,0,0
mt,2013,lower,HB 11,MTV00006148,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,20,1,0
mt,2013,lower,HB 12,MTV00006149,lower,Do Pass,2013-02-12 00:00:00,other,64,36,0
mt,2013,lower,HB 12,MTV00006150,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,18,3,0
mt,2013,lower,HB 32,MTV00006151,upper,BE CONCURRED IN,2013-02-08 00:00:00,other,10,0,0
mt,2013,lower,HB 40,MTV00006152,upper,Do Concur,2013-02-12 00:00:00,other,46,4,0
mt,2013,lower,HB 40,MTV00006153,upper,BE CONCURRED IN,2013-02-08 00:00:00,other,9,0,0
mt,2013,lower,HB 47,MTV00006154,upper,BE CONCURRED IN AS AMENDED,2013-02-08 00:00:00,other,8,0,0
mt,2013,lower,HB 52,MTV00006155,upper,Do Concur,2013-02-12 00:00:00,other,42,8,0
mt,2013,lower,HB 52,MTV00006156,upper,BE CONCURRED IN,2013-02-08 00:00:00,other,9,0,0
mt,2013,lower,HB 100,MTV00006157,lower,Do Pass,2013-02-11 00:00:00,other,96,2,2
mt,2013,lower,HB 100,MTV00006158,lower,DO PASS,2013-02-08 00:00:00,other,21,0,0
mt,2013,lower,HB 111,MTV00006159,upper,BE CONCURRED IN,2013-02-08 00:00:00,other,10,0,0
mt,2013,lower,HB 146,MTV00006160,lower,Do Pass,2013-02-11 00:00:00,other,83,15,2
mt,2013,lower,HB 147,MTV00006161,lower,Do Pass,2013-02-11 00:00:00,other,60,38,2
mt,2013,lower,HB 148,MTV00006162,upper,Do Concur,2013-02-12 00:00:00,other,50,0,0
mt,2013,lower,HB 148,MTV00006163,upper,BE CONCURRED IN AS AMENDED,2013-02-08 00:00:00,other,7,2,0
mt,2013,lower,HB 164,MTV00006164,upper,BE CONCURRED IN,2013-02-08 00:00:00,other,7,0,0
mt,2013,lower,HB 233,MTV00006165,lower,Do Pass As Amended,2013-02-12 00:00:00,other,96,4,0
mt,2013,lower,HB 233,MTV00006166,lower,AMD-01 Lavin D/PASS,2013-02-12 00:00:00,other,100,0,0
mt,2013,lower,HB 233,MTV00006167,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,11,1,0
mt,2013,lower,HB 247,MTV00006168,lower,Do Pass,2013-02-11 00:00:00,other,95,3,2
mt,2013,lower,HB 277,MTV00006169,lower,Do Pass,2013-02-12 00:00:00,other,84,16,0
mt,2013,lower,HB 278,MTV00006170,lower,Do Pass,2013-02-11 00:00:00,other,88,10,2
mt,2013,lower,HB 283,MTV00006171,lower,DO PASS AS AMENDED,2013-02-08 00:00:00,other,20,0,0
mt,2013,lower,HB 300,MTV00006172,lower,DO PASS,2013-02-08 00:00:00,other,8,4,0
mt,2013,lower,HB 317,MTV00006173,lower,DO PASS,2013-02-08 00:00:00,other,18,0,0
mt,2013,lower,HB 318,MTV00006174,lower,DO PASS,2013-02-08 00:00:00,other,18,0,0
mt,2013,lower,HB 321,MTV00006175,lower,Do Pass,2013-02-12 00:00:00,other,63,37,0
mt,2013,lower,HB 324,MTV00006176,lower,DO PASS AS AMENDED,2013-02-07 00:00:00,other,11,10,0
mt,2013,lower,HB 325,MTV00006177,lower,Do Pass,2013-02-12 00:00:00,other,81,19,0
mt,2013,lower,HB 328,MTV00006178,lower,Do Pass,2013-02-12 00:00:00,other,83,17,0
mt,2013,lower,HB 337,MTV00006179,lower,Do Pass,2013-02-12 00:00:00,other,100,0,0
mt,2013,lower,HB 346,MTV00006180,lower,Do Pass,2013-02-12 00:00:00,other,72,27,1
mt,2013,lower,HB 356,MTV00006181,lower,Do Pass,2013-02-12 00:00:00,other,100,0,0
mt,2013,lower,HJ 9,MTV00006182,lower,Do Pass,2013-02-12 00:00:00,other,72,28,0
mt,2013,lower,HJ 9,MTV00006183,lower,AMD-01 Boland D/PASS,2013-02-12 00:00:00,other,42,58,0
mt,2013,lower,HJ 9,MTV00006184,lower,DO PASS,2013-02-08 00:00:00,other,9,5,0
mt,2013,upper,SB 51,MTV00006185,lower,Do Concur,2013-02-13 00:00:00,other,99,1,0
mt,2013,upper,SB 65,MTV00006186,lower,Do Concur,2013-02-13 00:00:00,other,96,4,0
mt,2013,upper,SB 73,MTV00006187,lower,Do Concur,2013-02-13 00:00:00,other,99,1,0
mt,2013,upper,SB 86,MTV00006188,upper,Do Pass,2013-02-12 00:00:00,other,50,0,0
mt,2013,upper,SB 196,MTV00006189,upper,Do Pass,2013-02-13 00:00:00,other,29,19,2
mt,2013,upper,SB 201,MTV00006190,upper,Do Pass As Amended,2013-02-13 00:00:00,other,47,1,2
mt,2013,upper,SB 201,MTV00006191,upper,AMD-2 Hamlett D/PASS,2013-02-13 00:00:00,other,47,1,2
mt,2013,upper,SB 201,MTV00006192,upper,AMD-1 Hamlett D/PASS,2013-02-13 00:00:00,other,48,0,2
mt,2013,upper,SB 202,MTV00006193,upper,Do Pass,2013-02-12 00:00:00,other,35,15,0
mt,2013,upper,SB 211,MTV00006194,upper,Do Pass,2013-02-12 00:00:00,other,49,1,0
mt,2013,lower,HB 32,MTV00006195,upper,Do Concur,2013-02-12 00:00:00,other,38,12,0
mt,2013,lower,HB 55,MTV00006196,upper,Do Concur,2013-02-12 00:00:00,other,50,0,0
mt,2013,lower,HB 60,MTV00006197,upper,Do Concur,2013-02-12 00:00:00,other,41,9,0
mt,2013,lower,HB 105,MTV00006198,lower,Do Pass,2013-02-12 00:00:00,other,91,8,1
mt,2013,lower,HB 111,MTV00006199,upper,Do Concur,2013-02-12 00:00:00,other,50,0,0
mt,2013,lower,HB 146,MTV00006200,lower,DO PASS,2013-02-08 00:00:00,other,21,0,0
mt,2013,lower,HB 158,MTV00006201,lower,Do Pass,2013-02-12 00:00:00,other,53,46,1
mt,2013,lower,HB 164,MTV00006202,upper,Do Concur,2013-02-13 00:00:00,other,48,0,2
mt,2013,lower,HB 222,MTV00006203,lower,DO PASS AS AMENDED,2013-02-07 00:00:00,other,19,0,0
mt,2013,lower,HB 283,MTV00006204,lower,Do Pass,2013-02-13 00:00:00,other,99,1,0
mt,2013,lower,HB 305,MTV00006205,lower,Do Pass,2013-02-13 00:00:00,other,100,0,0
mt,2013,lower,HB 318,MTV00006206,lower,Do Pass,2013-02-13 00:00:00,other,100,0,0
mt,2013,lower,HB 337,MTV00006207,lower,Do Pass,2013-02-13 00:00:00,other,99,0,1
mt,2013,lower,HB 351,MTV00006208,lower,Do Pass,2013-02-13 00:00:00,other,100,0,0
mt,2013,upper,SB 9,MTV00006209,upper,Do Pass,2013-02-13 00:00:00,other,29,20,1
mt,2013,upper,SB 14,MTV00006210,upper,AMD-1 Wanzenried D/PASS,2013-02-14 00:00:00,other,46,4,0
mt,2013,upper,SB 81,MTV00006211,upper,AMD-1 Lewis D/PASS,2013-02-14 00:00:00,other,27,23,0
mt,2013,upper,SB 106,MTV00006212,upper,Do Pass,2013-02-13 00:00:00,other,43,5,2
mt,2013,upper,SB 149,MTV00006213,upper,Do Pass,2013-02-13 00:00:00,other,36,12,2
mt,2013,upper,SB 153,MTV00006214,upper,DO PASS AS AMENDED,2013-02-11 00:00:00,other,4,3,0
mt,2013,upper,SB 171,MTV00006215,upper,Do Pass,2013-02-13 00:00:00,other,24,25,1
mt,2013,upper,SB 185,MTV00006216,upper,DO PASS AS AMENDED,2013-02-11 00:00:00,other,7,0,0
mt,2013,upper,SB 197,MTV00006217,upper,AMD-1 Priest D/PASS,2013-02-14 00:00:00,other,47,3,0
mt,2013,upper,SB 225,MTV00006218,upper,Do Pass,2013-02-13 00:00:00,other,43,5,2
mt,2013,upper,SJ 10,MTV00006219,upper,Do Pass,2013-02-14 00:00:00,other,42,8,0
mt,2013,lower,HB 12,MTV00006220,lower,Do Pass,2013-02-13 00:00:00,other,68,29,3
mt,2013,lower,HB 40,MTV00006221,upper,Do Concur,2013-02-13 00:00:00,other,40,9,1
mt,2013,lower,HB 47,MTV00006222,upper,Do Concur,2013-02-14 00:00:00,other,48,2,0
mt,2013,lower,HB 52,MTV00006223,upper,Do Concur,2013-02-13 00:00:00,other,43,6,1
mt,2013,lower,HB 84,MTV00006224,lower,Do Pass,2013-02-14 00:00:00,other,98,2,0
mt,2013,lower,HB 148,MTV00006225,upper,Do Concur,2013-02-13 00:00:00,other,47,1,2
mt,2013,lower,HB 153,MTV00006226,lower,Do Pass,2013-02-14 00:00:00,other,95,4,1
mt,2013,lower,HB 179,MTV00006227,lower,Do Pass,2013-02-14 00:00:00,other,100,0,0
mt,2013,lower,HB 233,MTV00006228,lower,Do Pass,2013-02-13 00:00:00,other,94,4,2
mt,2013,lower,HB 241,MTV00006229,lower,Do Pass,2013-02-14 00:00:00,other,62,38,0
mt,2013,lower,HB 249,MTV00006230,lower,Do Pass,2013-02-14 00:00:00,other,62,38,0
mt,2013,lower,HB 277,MTV00006231,lower,Do Pass,2013-02-13 00:00:00,other,80,19,1
mt,2013,lower,HB 299,MTV00006232,lower,DO PASS AS AMENDED,2013-02-11 00:00:00,other,11,1,0
mt,2013,lower,HB 300,MTV00006233,lower,AMD-01 Salomon D/PASS,2013-02-14 00:00:00,other,95,4,1
mt,2013,lower,HB 317,MTV00006234,lower,Do Pass,2013-02-14 00:00:00,other,100,0,0
mt,2013,lower,HB 321,MTV00006235,lower,Do Pass,2013-02-13 00:00:00,other,63,36,1
mt,2013,lower,HB 323,MTV00006236,lower,Do Pass,2013-02-14 00:00:00,other,95,5,0
mt,2013,lower,HB 325,MTV00006237,lower,Do Pass,2013-02-13 00:00:00,other,77,22,1
mt,2013,lower,HB 328,MTV00006238,lower,Do Pass,2013-02-13 00:00:00,other,79,20,1
mt,2013,lower,HB 356,MTV00006239,lower,Do Pass,2013-02-13 00:00:00,other,99,0,1
mt,2013,lower,HB 363,MTV00006240,lower,DO PASS AS AMENDED,2013-02-11 00:00:00,other,12,8,0
mt,2013,lower,HJ 9,MTV00006241,lower,Do Pass,2013-02-13 00:00:00,other,70,29,1
mt,2013,upper,SB 5,MTV00006242,lower,Do Concur,2013-02-15 00:00:00,other,100,0,0
mt,2013,upper,SB 14,MTV00006243,upper,Do Pass As Amended,2013-02-14 00:00:00,other,32,18,0
mt,2013,upper,SB 36,MTV00006244,lower,Do Concur,2013-02-15 00:00:00,other,100,0,0
mt,2013,upper,SB 51,MTV00006245,lower,Do Concur,2013-02-14 00:00:00,other,96,1,3
mt,2013,upper,SB 58,MTV00006246,upper,DO PASS AS AMENDED,2013-02-12 00:00:00,other,14,6,0
mt,2013,upper,SB 65,MTV00006247,lower,Do Concur,2013-02-14 00:00:00,other,88,10,2
mt,2013,upper,SB 73,MTV00006248,lower,Do Concur,2013-02-14 00:00:00,other,97,0,3
mt,2013,upper,SB 75,MTV00006249,lower,Do Concur,2013-02-15 00:00:00,other,100,0,0
mt,2013,upper,SB 75,MTV00006250,lower,BE CONCURRED IN,2013-02-12 00:00:00,other,21,0,0
mt,2013,upper,SB 81,MTV00006251,upper,PassCons-to 3rd Rd 2/16-Tropila,2013-02-15 00:00:00,other,29,21,0
mt,2013,upper,SB 81,MTV00006252,upper,Do Pass As Amended,2013-02-14 00:00:00,other,28,22,0
mt,2013,upper,SB 114,MTV00006253,upper,Do Pass,2013-02-15 00:00:00,other,39,11,0
mt,2013,upper,SB 114,MTV00006254,upper,DO PASS,2013-02-12 00:00:00,other,18,2,0
mt,2013,upper,SB 139,MTV00006255,upper,Do Pass,2013-02-15 00:00:00,other,35,15,0
mt,2013,upper,SB 139,MTV00006256,upper,DO PASS AS AMENDED,2013-02-12 00:00:00,other,6,4,0
mt,2013,upper,SB 141,MTV00006257,lower,Do Concur,2013-02-15 00:00:00,other,100,0,0
mt,2013,upper,SB 166,MTV00006258,upper,Do Pass,2013-02-15 00:00:00,other,29,21,0
mt,2013,upper,SB 166,MTV00006259,upper,DO PASS AS AMENDED,2013-02-12 00:00:00,other,9,3,0
mt,2013,upper,SB 189,MTV00006260,upper,Do Pass,2013-02-15 00:00:00,other,50,0,0
mt,2013,upper,SB 192,MTV00006261,upper,Do Pass,2013-02-15 00:00:00,other,30,20,0
mt,2013,upper,SB 192,MTV00006262,upper,DO PASS AS AMENDED,2013-02-12 00:00:00,other,11,9,0
mt,2013,upper,SB 196,MTV00006263,upper,Do Pass,2013-02-14 00:00:00,other,35,15,0
mt,2013,upper,SB 197,MTV00006264,upper,Do Pass As Amended,2013-02-14 00:00:00,other,34,16,0
mt,2013,upper,SB 209,MTV00006265,upper,Do Pass,2013-02-14 00:00:00,other,41,9,0
mt,2013,upper,SB 238,MTV00006266,upper,Do Pass,2013-02-15 00:00:00,other,47,3,0
mt,2013,upper,SB 252,MTV00006267,upper,DO PASS,2013-02-12 00:00:00,other,11,0,0
